"SiteID","mpd"
102,12.1057237153102
104,12.1517509312636
110,11.353047511655
112,10.6078060768291
114,12.3110446246576
155,12.5084246743298
158,12.242474691916
165,11.9187109554342
169,12.123381547512
201,11.7734210308471
204,11.5346079682123
206,11.9111567124803
211,11.6613869412209
212,11.8726470972374
223,12.3387452650849
303,10.5292050519598
310,11.9176731808712
403,11.612080591364
412,11.0321991003295
414,12.0578872527633
506,12.0783769500405
507,11.7470492615466
508,11.3024802198312
601,10.553984649379
603,10.2601153700306
701,11.6090178837424
702,12.0547504544936
703,11.7970148296717
705,11.3944413896835
710,10.8094181534165
802,11.6623051350002
811,8.92284375309731
903,11.5534014510739
908,12.1139739293491
909,10.8020293136962
910,10.2425832561263
1001,10.986680127023
1003,11.6391422502926
1101,10.4927454436967
1113,8.72232990380976
1204,10.1186779054789
1206,9.53544213283987
1212,10.5544988231219
1214,10.9269390721465
1262,7.19597110990374
1280,11.2521197176744
1304,4.65342079848841
1306,5.20349012437502
1308,3.94168567125445
1310,11.207906666644
1312,8.50758820065614
1316,4.94720581467904
