"SiteID","avg_FDD","sd_FDD","avg_GDD5","sd_GDD5"
"0field",-802.019999694824,262.501835587646,2144.575,148.241591486493
"0forest",-802.019999694824,262.501835587646,2144.575,148.241591486493
"10field",-729.304995727539,253.051711999412,2112.85501098633,161.115104312572
"10forest",-695.123075045072,292.098459267883,2114.36924391526,195.452264635848
"11field",-1630.61500854492,212.701328410317,1556.84499511719,153.276944932574
"11forest",-1522.99000244141,240.185888347008,1664.375,142.835431614562
"12field",-1042.23500671387,297.255613119395,2065.59501342773,136.5998454523
"12forest",-1042.23500671387,297.255613119395,2065.59501342773,136.5998454523
"13field",-849.240008544922,240.479908682952,2089.2299987793,140.019411738253
"13forest",-783.684221769634,276.434653003303,2208.32631964433,161.364435310058
"14forest",-1320.1200012207,258.630613921859,1768.04999389648,161.61402182165
"15field",-1515.24444580078,281.255856340572,1642.63888888889,168.315439116577
"15forest",-1516.45999755859,279.002300839099,1644.725,160.637300963014
"16field",-590.969995880127,182.46578634784,2262.96002197266,168.034817509834
"16forest",-590.969995880127,182.46578634784,2262.96002197266,168.034817509834
"18field",-718.970004272461,253.907627174985,2414.9799987793,168.929326691161
"1field",-781.665005493164,261.865126502633,2167.12498779297,149.423031767265
"1forest",-781.665005493164,261.865126502633,2167.12498779297,149.423031767265
"20field",-1080.96999206543,287.755606731521,1994.29000854492,153.980737165556
"20forest",-1065.65293615005,296.564805876465,2001.8294246898,163.448210366788
"21field",-483.510004425049,168.114634755574,2349.88497924805,168.218824508786
"21forest",-531.329414816464,223.320778762574,2415.0646685432,177.906995433053
"22field",-789.761540339543,318.441384458531,2288.96922889123,180.168350528333
"22forest",-789.761540339543,318.441384458531,2288.96922889123,180.168350528333
"23field",-1217.72105969881,280.096504310713,1826.7473594264,154.124728505681
"23forest",-1226.90500793457,275.702356199235,1824.46499023437,150.360842175363
"25field",-1256.91000366211,261.519802065896,1849.41999511719,151.402391562344
"25forest",-1341.35999450684,214.977346167592,1715.66998901367,174.967332375116
"27forest",-1075.98500061035,292.466049538845,1953.64001464844,160.044694085931
"28field",-872.975003051758,277.636555504586,2183.43001098633,161.043349701626
"28forest",-864.311763987822,287.090752125583,2184.42353372013,175.186158568666
"29field",-962.331570273951,300.701069057498,2119.99473812706,144.797043620447
"29forest",-970.994990539551,295.234183234009,2122.68500366211,141.44769723873
"2forest",-686.769999694824,252.07252714947,2414.16001586914,170.408453368048
"31field",-805.953852726863,315.926936916906,2199.50768103966,204.303905920814
"31forest",-846.770001220703,276.242664833023,2199.63000488281,169.878799355906
"32field",-703.090000915527,252.977551499128,2411.97497558594,167.216836882104
"32forest",-674.276928241436,296.873960631603,2423.80767352764,197.477827456478
"33field",-1014.52500915527,311.571353816423,1867.53500366211,123.173606886908
"33forest",-1014.52500915527,311.571353816423,1867.53500366211,123.173606886908
"34field",-868.05998840332,238.810203446909,2082.09000244141,146.854977299653
"34forest",-868.05998840332,238.810203446909,2082.09000244141,146.854977299653
"35field",-711.269995117187,256.010725745779,2136.03500366211,164.365430494251
"35forest",-711.269995117187,256.010725745779,2136.03500366211,164.365430494251
"7field",-714.670001983643,220.788291213458,2329.83500976562,152.64301965813
"7forest",-714.670001983643,220.788291213458,2329.83500976562,152.64301965813
"8field",-1632.9000051398,248.796382375397,1252.56315532484,158.194505515861
"8forest",-1582.38235294118,207.968577089498,1259.7235286937,151.607625789731
"9field",-900.475012207031,287.967173042212,2014.825,164.718772369019
"9forest",-852.030780498798,320.419983820787,2018.41539588341,190.602184330827
