"SiteID","mpd"
"0field",66.5939929953124
"0forest",55.9998285226564
"10field",69.5229072679694
"10forest",56.526524846323
"11field",69.8384951323196
"11forest",58.0416532888574
"12field",60.6473773548438
"12forest",62.916953931292
"13field",80.9946295312755
"13forest",62.8322373718612
"14forest",7.38116286791539
"15field",52.4973979843562
"15forest",71.4923028662058
"16field",60.0938527767848
"16forest",67.2662153133187
"18field",52.0910426477829
"1field",66.7730623446138
"1forest",64.8423202343515
"20field",67.1626177303612
"20forest",45.0425189429097
"21field",76.3716278921128
"21forest",41.8584199818125
"22field",56.5392652122177
"22forest",68.0293685064768
"23field",57.8609867466823
"23forest",52.6721310422744
"25field",59.4525045627522
"25forest",51.6408518596277
"27forest",28.3626380656064
"28field",56.7927952959069
"28forest",62.5503911065231
"29field",58.423684340647
"29forest",73.4617047583134
"2forest",4.51211732130744
"31field",50.5696387933143
"31forest",66.5081679387059
"32field",70.2135251094194
"32forest",65.3476248016336
"33field",65.4389628522489
"33forest",75.211462017704
"34field",72.0078001370275
"34forest",87.7635438117946
"35field",81.7529069290715
"35forest",55.8598260300024
"7field",69.2261410057072
"7forest",59.7769967457043
"8field",64.3824417941496
"8forest",77.7184397952434
"9field",72.7054985717123
"9forest",63.4571123880698
