"","f_dis","cwm_pc1"
"0field",0.959233868539788,-0.641446948541524
"0forest",0.777222468155677,-0.826019223958387
"10field",1.02507316773039,-0.677032307609392
"10forest",0.739298935912708,-0.836596105695139
"11field",1.03957677334566,-0.717813874867044
"11forest",0.865758449504384,-0.788840313692281
"12field",0.79091912468006,-0.54845603710833
"12forest",0.876510967573486,-0.82018974136091
"13field",1.14104259485071,-0.657028482573927
"13forest",0.792968236502855,-0.844275021029915
"14forest",0.411447616515863,-0.772994286850323
"15field",0.83982188741969,-0.625421072926702
"15forest",1.06741012174735,-0.859972190060846
"16field",0.903861277133614,-0.529141450694416
"16forest",0.930339254016054,-0.778093213745298
"18field",0.910999227136624,-0.552776424776561
"1field",0.973992791262067,-0.665805531383697
"1forest",0.90089376549516,-0.825104119863639
"20field",0.901791818879882,-0.633623979378388
"20forest",0.496995487228861,-0.827829817283656
"21field",1.02312477061191,-0.612247265120602
"21forest",0.44929973845885,-0.87489783031332
"22field",0.898051444513734,-0.569324724902042
"22forest",1.00859044239538,-0.819302145513602
"23field",0.966663933593164,-0.685742715177268
"23forest",0.771186987221163,-0.816885314678394
"25field",0.987458545861492,-0.689153440580413
"25forest",0.880819612296758,-0.774087331893009
"27forest",0.516910153193531,-0.768464172943568
"28field",0.930362699733547,-0.544240673185716
"28forest",0.881523132020878,-0.822634219496256
"29field",0.806690791848412,-0.535853595447212
"29forest",0.884291365785923,-0.750162566145236
"2forest",0.211525662670611,-0.738538762016094
"31field",0.781639518362126,-0.486917172589638
"31forest",0.90158788330879,-0.854441569354017
"32field",1.07981153773385,-0.678719517804706
"32forest",0.721669635586633,-0.765097092303353
"33field",0.788999203424178,-0.633888383916008
"33forest",1.06496057942102,-0.867376642215774
"34field",1.06746267110959,-0.627225943533247
"34forest",1.17665692966078,-0.853601724550808
"35field",1.06961375744283,-0.687043483275253
"35forest",0.832420195166641,-0.807365527764576
"7field",0.993805168087117,-0.52040178365285
"7forest",0.883208440705584,-0.830287812554766
"8field",0.82690829417417,-0.739770855737427
"8forest",1.03795890111126,-0.754422948052332
"9field",1.00368219194227,-0.628389905710684
"9forest",0.899712767614612,-0.874467730513344
