"Family","Species","wingspan","wintering","host_usage","voltinism","Abbrev_in_phylo"
"Geometridae","Eupithecia vulgata",17.2,"pupa","polyphagous","univoltine","Eup.vulg"
"Geometridae","Scopula ternata",22.8,"larva","polyphagous","univoltine","Sco.tern"
"Geometridae","Perizoma taeniatum",22,"larva","polyphagous","univoltine","Per.taen"
"Geometridae","Odontopera bidentata",40,"pupa","polyphagous","univoltine","Odo.bide"
"Noctuidae","Allophyes oxyacanthae",42.3,"egg","oligophagous","univoltine","All.oxya"
"Geometridae","Trichopteryx carpinata",29.8,"pupa","polyphagous","univoltine","Tri.crat"
"Sphingidae","Laothoe populi",82.2,"pupa","polyphagous","univoltine","Lao.popu"
"Geometridae","Pasiphila debiliata",17.9,"egg","oligophagous","univoltine","Pas.debi"
"Noctuidae","Chersotis cuprea",35.3,"larva","polyphagous","univoltine","Che.cupr"
"Noctuidae","Cerastis rubricosa",33.3,"pupa","polyphagous","univoltine","Cer.rubr"
"Noctuidae","Protolampra sobrina",34.2,"larva","polyphagous","univoltine","Pro.sobr"
"Noctuidae","Lacanobia thalassina",39.3,"pupa","polyphagous","bivoltine","Lac.thal"
"Noctuidae","Enargia paleacea",42.4,"egg","polyphagous","univoltine","Ena.pale"
"Geometridae","Epione repandaria",28.3,"egg","oligophagous","univoltine","Epi.repa"
"Noctuidae","Lithophane consocia",43.3,"adult","oligophagous","univoltine","Lit.cons"
"Noctuidae","Mniotype satura",43.2,"egg","polyphagous","univoltine","Mni.satu"
"Geometridae","Hydriomena impluviata",29.8,"pupa","polyphagous","univoltine","Hyd.impl"
"Noctuidae","Brachionycha nubeculosa",52.2,"pupa","polyphagous","univoltine","Bra.nube"
"Noctuidae","Brachylomia viminalis",30.2,"egg","polyphagous","univoltine","Bra.vimi"
"Geometridae","Thera juniperata",22.3,"egg","oligophagous","univoltine","The.juni"
"Noctuidae","Parastichtis suspecta",32.2,"egg","polyphagous","univoltine","Par.susp"
"Geometridae","Thera obeliscata",28.5,"larva","oligophagous","univoltine","The.obel"
"Erebidae","Spilosoma lubricipedum",40,"pupa","polyphagous","bivoltine","Spi.lubr"
"Noctuidae","Caradrina morpheus",29,"larva","polyphagous","bivoltine","Car.morp"
"Noctuidae","Hoplodrina blanda",31.1,"larva","polyphagous","univoltine","Hop.blan"
"Geometridae","Epione vespertaria",26.9,"egg","polyphagous","univoltine","Epi.vesp"
"Geometridae","Epirrhoe alternata",23.3,"pupa","oligophagous","multivoltine","Epi.alte"
"Geometridae","Eupithecia intricata",18.5,"pupa","oligophagous","univoltine","Eup.intr"
"Noctuidae","Panolis flammea",33.6,"pupa","oligophagous","univoltine","Pan.flam"
"Geometridae","Hypomecis roboraria",53.4,"larva","polyphagous","bivoltine","Hyp.robo"
"Noctuidae","Dasypolia templi",46.7,"adult","polyphagous","univoltine","Das.temp"
"Noctuidae","Mythimna conigera",33.6,"larva","polyphagous","univoltine","Myt.coni"
"Geometridae","Macaria liturata",28.2,"pupa","oligophagous","bivoltine","Mac.litu"
"Noctuidae","Autographa pulchrina",37.9,"larva","polyphagous","univoltine","Aut.pulc"
"Noctuidae","Xestia sexstrigata",34.4,"larva","polyphagous","univoltine","Xes.sexs"
"Geometridae","Colostygia pectinataria",23.9,"larva","oligophagous","univoltine","Col.pect"
"Geometridae","Scopula immutata",22.5,"larva","polyphagous","univoltine","Sco.immu"
"Noctuidae","Autographa gamma",39.7,"larva","polyphagous","multivoltine","Aut.gamm"
"Geometridae","Eulithis mellinata",27.4,"egg","oligophagous","univoltine","Eul.mell"
"Noctuidae","Xestia xanthographa",34.4,"larva","polyphagous","univoltine","Xes.xant"
"Noctuidae","Anaplectoides prasinus",47.6,"larva","polyphagous","univoltine","Ana.pras"
"Geometridae","Perizoma paralellolineatum",25.5,"egg","oligophagous","univoltine","Per.para"
"Erebidae","Cybosia mesomella",26.4,"larva","polyphagous","univoltine","Cyb.meso"
"Noctuidae","Graphiphora augur",41.9,"larva","polyphagous","univoltine","Gra.augu"
"Geometridae","Hydriomena ruberata",31.9,"pupa","oligophagous","univoltine","Hyd.rube"
"Geometridae","Cosmorhoe ocellata",24.1,"larva","oligophagous","bivoltine","Cos.ocel"
"Noctuidae","Xestia speciosa",42.6,"larva","polyphagous","univoltine","Xes.spec"
"Geometridae","Hylaea fasciaria",37.1,"larva","oligophagous","bivoltine","Hyl.fasc"
"Noctuidae","Abrostola tripartita",33.1,"pupa","oligophagous","bivoltine","Abr.trir"
