"SiteID","mpd"
"MNP.5550",92.9972554457091
"MNP.5553",90.2459133413943
"MNP.5556",94.4483011709378
"MNP.5578",81.6398388604421
"MNP.5580",67.5448070278061
"MNP.5597",97.0422889210338
"MNP.5614",90.4433714092671
"MNP.5625",85.5771695649217
"MNP.5628",92.9367499339942
"MNP.5642",88.6545309251351
"MNP.5650",88.2165259192601
"MNP.5651",87.1557889810967
"MNP.5652",89.2694102826419
"MNP.5654",91.1058316437004
"MNP.5655",86.7412009548112
"MNP.5670",88.4610031384858
"MNP.5675",86.4553551954666
"MNP.5676",98.7358762324508
"MNP.5683",91.0370166482265
"MNP.5684",106.003500527878
"MNP.5685",89.9842242888372
"MNP.5694",98.7423090052066
"MNP.5699",80.6837004102836
"MNP.5707",88.5589052308604
"MNP.5713",89.7031637340377
"MNP.5714",87.7200069509254
"MNP.5717",100.536928648661
"MNP.5719",102.457854656999
"MNP.5720",86.9921427209203
"MNP.5731",86.1751697112966
"MNP.5735",101.947550754243
"MNP.5736",70.395686511703
"MNP.5742",104.521348162262
"MNP.5773",81.4086114623706
"MNP.5780",81.207580216371
"MNP.5781",85.2786673184771
"MNP.5782",86.287629272068
"MNP.5783",82.6521713175255
"MNP.5784",81.6962777389688
"MNP.6070",96.6949527413193
