"","f_dis","cwm_pc1"
"MNP.5550",1.59853743694224,-0.58023965558314
"MNP.5553",1.5674540569215,-0.559828979345895
"MNP.5556",1.58789333832777,-0.571261987055638
"MNP.5578",1.46874936560629,-0.870951028834703
"MNP.5580",1.39722779751059,-0.75064474381907
"MNP.5597",1.71394668887882,0.0250684117990923
"MNP.5614",1.61143625069433,-0.541512470570358
"MNP.5625",1.49009767171002,-0.851430575856591
"MNP.5628",1.56167855600822,-0.63193434971706
"MNP.5642",1.48011327568125,-0.641868587908269
"MNP.5650",1.54986545290517,-0.663411216765998
"MNP.5651",1.50877415349223,-0.854432691539546
"MNP.5652",1.52918280510751,-0.744545217432107
"MNP.5654",1.52068891340925,-0.705572304723091
"MNP.5655",1.48151748074528,-0.77390803865517
"MNP.5670",1.51813790734478,-0.812674765762794
"MNP.5675",1.55532336149238,-0.794062369466348
"MNP.5676",1.6352619860184,-0.615248411650057
"MNP.5683",1.52193799723928,-0.881076283208811
"MNP.5684",1.66649369696218,-0.377218680646144
"MNP.5685",1.50631616155377,-0.866112241178014
"MNP.5694",1.66707787921982,-0.572278601586128
"MNP.5699",1.38867000341674,-0.710952474255386
"MNP.5707",1.48239402407014,-0.821060998767909
"MNP.5713",1.45254320180189,-0.888767713092681
"MNP.5714",1.39740985921052,-0.892865367671613
"MNP.5717",1.59179960386241,-0.41109184362612
"MNP.5719",1.5938897850506,-0.310217649819443
"MNP.5720",1.44083215558533,-0.660548520389809
"MNP.5731",1.4952157973981,-0.652970239255436
"MNP.5735",1.71288981891764,-0.514498780718738
"MNP.5736",1.31009392351951,-1.12601610128902
"MNP.5742",1.51398394532401,-0.68022118648852
"MNP.5773",1.42367716988849,-0.978950829268332
"MNP.5780",1.40555826344669,-0.885378006512942
"MNP.5781",1.38822491639586,-0.830579114646355
"MNP.5782",1.45767361330583,-0.872314542494687
"MNP.5783",1.43278850358384,-0.934738851523228
"MNP.5784",1.44033201666868,-0.847681263434242
"MNP.6070",1.7225968173688,-0.0769828518169947
