"Species","WingLengthMean","Gen_Length","Feeding","Mig","Habitat","Mass","Max_Brood"
"Regulus regulus","54.3","2.7","insectivore","resident","coniferous_forest",6,12
"Riparia riparia","107.2","3.1","insectivore","long-dist_migrant","urban_environments",14,6
"Saxicola rubetra","77.3","3.3","insectivore","long-dist_migrant","agricultural_land",17,8
"Scolopax rusticola","197","6.3","insectivore","short-dist_migrant","general_forest",312,5
"Streptopelia decaocto","182","5.3","herbivore","resident","urban_environments",196,2
"Streptopelia turtur","175.5","5.3","herbivore","long-dist_migrant","agricultural_land",125,2
"Strix nebulosa","449","9.3","carnivore","resident","general_forest",1035,7
"Strix uralensis","360.5","12.9","carnivore","resident","general_forest",730,6
"Sturnus vulgaris","129.4","4.6","mixed_diet","short-dist_migrant","agricultural_land",77,5
"Surnia ulula","236","4.4","carnivore","resident","general_forest",331,8
"Sylvia atricapilla","77.0","4","mixed_diet","long-dist_migrant","deciduous_forest",20,6
"Sylvia borin","80.2","4","mixed_diet","long-dist_migrant","deciduous_forest",20,6
"Sylvia communis","73.9","4","insectivore","long-dist_migrant","shrub_land",15,7
"Sylvia curruca","67.1","4","insectivore","long-dist_migrant","general_forest",12,6
"Tarsiger cyanurus","79.6","3.8","insectivore","long-dist_migrant","coniferous_forest",14,7
"Tetrao tetrix",NA,"6.4","herbivore","resident","general_forest",1088,10
"Tetrao urogallus",NA,"6.4","herbivore","resident","coniferous_forest",2931,8
"Tringa erythropus","168.5","5.6","insectivore","long-dist_migrant","mires_and_mountains",168,4
"Tringa glareola","127.5","5.2","insectivore","long-dist_migrant","mires_and_mountains",68,4
"Tringa nebularia","192","6.3","insectivore","long-dist_migrant","mires_and_mountains",174,4
"Tringa ochropus","145","5.6","insectivore","long-dist_migrant","general_forest",80,4
"Tringa totanus","157.5","6.2","insectivore","short-dist_migrant","eutrophic_wetlands",107,4
"Troglodytes troglodytes","49.2","3.5","insectivore","short-dist_migrant","general_forest",10,9
"Turdus iliacus","118.5","6.1","mixed_diet","short-dist_migrant","general_forest",60,8
"Turdus merula","132.1","5.2","mixed_diet","short-dist_migrant","general_forest",101,6
"Turdus philomelos","118.1","5.2","mixed_diet","short-dist_migrant","general_forest",69,6
"Turdus pilaris","146.3","5.3","mixed_diet","short-dist_migrant","agricultural_land",106,7
"Turdus viscivorus","156.8","3.7","mixed_diet","short-dist_migrant","coniferous_forest",115,5
"Vanellus vanellus","226.5","9","insectivore","short-dist_migrant","agricultural_land",206,5
