"trait_name","trait_type","stat_name","stat_value","p_value","signal"
"generation_length_d","Continuous","Pagel's lambda",0.933401153777361,0.0409404393431857,TRUE
"litter_size_n","Continuous","Pagel's lambda",0.52505738101957,0.109824032988068,FALSE
"det_diet_breadth_n","Continuous","Pagel's lambda",7.70364373099607e-05,1,FALSE
"log_body_mass","Continuous","Pagel's lambda",0.840283636907272,0.00614120198828229,TRUE
"log_dispersal","Continuous","Pagel's lambda",0.580558023816697,0.132422892978156,FALSE
