"trait_name","trait_type","stat_name","stat_value","p_value","signal"
"generation_length_d","Continuous","Pagel's lambda",0.978907022156054,0.0245709674046454,TRUE
"litter_size_n","Continuous","Pagel's lambda",0.523039412072911,0.103684648344153,FALSE
"det_diet_breadth_n","Continuous","Pagel's lambda",7.61890349506081e-05,1,FALSE
"log_body_mass","Continuous","Pagel's lambda",0.849709024925207,0.00625343626431375,TRUE
"log_dispersal","Continuous","Pagel's lambda",0.583488124762986,0.145579912027968,FALSE
