"trait_name","trait_type","stat_name","stat_value","p_value","signal"
"generation_length_d","Continuous","Pagel's lambda",0.95602604037003,0.0389546148865741,TRUE
"litter_size_n","Continuous","Pagel's lambda",0.519992424094484,0.115661181750468,FALSE
"det_diet_breadth_n","Continuous","Pagel's lambda",7.78647072059392e-05,1,FALSE
"log_body_mass","Continuous","Pagel's lambda",0.842172297807909,0.00616551737567602,TRUE
"log_dispersal","Continuous","Pagel's lambda",0.559102915484814,0.13391755553924,FALSE
