"SiteID","avg_FDD","sd_FDD","avg_GDD5","sd_GDD5"
150,-716.539993286133,213.166248909838,2330.68997802735,145.785932752023
160,-690.695000457764,236.502254902772,2330.70500488281,136.849156982844
290,-639.966670735677,191.647297052319,2307.05330403646,140.399946304796
307,-609.77778116862,317.80929244105,2445.24446614583,146.600515378886
678,-557.335718427385,233.469157384871,2482.68568638393,152.569537226048
830,-579.539998626709,214.64888521769,2482.77001953125,158.925389756501
842,-594.24999923706,223.019870405921,2466.98001708984,175.493323048558
941,-613.294745194284,165.562453829902,2268.3999922903,177.524153212912
1089,-571.080001068115,269.331365396923,2359.48499755859,159.489729812078
1096,-568.279998016357,265.328308238014,2315.86500854492,159.95686242269
1158,-538.689476414731,193.422543125297,2479.45263671875,155.095841103373
1196,-532.826665242513,226.156196035523,2474.84000651042,136.201586214976
1205,-586.555552164714,247.739600676868,2482.1666937934,155.113606629184
1256,-559.92142377581,238.230799381212,2443.51428222656,141.186245691609
1316,-660.210001373291,198.700982997699,2303.89498901367,181.495488916988
1317,-640.260001373291,205.275304656771,2300.15997924805,183.729783580232
2100,-751.959996032715,215.066449137801,2219.80998535156,176.066116910829
2987,-520.333342488606,224.641309993843,2481.90001627604,138.536117133985
3923,-877.31538273738,274.950612904094,2075.3615628756,139.611184651733
4996,-944.569995117188,320.953336763063,2024.09998168945,134.330569267738
6396,-614.565005493164,280.517070933107,2224.12501220703,151.024450731425
6417,-535.419990539551,292.09704722216,2415.03000488281,130.316162543888
6521,-572.018182927912,283.601415559006,2371.25457208807,147.052031300587
7635,-808.552626760382,305.458081306918,2131.07893451892,143.514147389154
7697,-821.211761474609,318.792692314107,2123.84705307905,148.647121971316
7833,-649.184210526316,236.486379647169,2420.75265984786,149.978863104497
8029,-813.735286937041,319.81920961372,2136.78237017463,148.13150993253
8141,-672.474996948242,238.082063145464,2339.53499755859,141.911800962594
8713,-720.415000915527,245.574176888655,2196.725,157.115617862745
9053,-661.30000144557,240.136317694303,2392,146.65879516566
9261,-697.570006561279,247.71784444453,2327.80002441406,156.892372170606
9518,-724.733339436849,266.737793458702,2189.70001627604,139.421442386895
9549,-775.140000406901,280.854997085019,2198.97335611979,137.544102095836
9668,-549.581817626953,276.252464366772,2392.02727716619,150.851575814439
9865,-567.910008239746,296.055293574291,2348.90004882812,135.221530180648
10195,-759.64444647895,259.984813120739,2414.00001356337,141.369066570851
10262,-823.873689350329,217.042999803066,2350.67371247944,150.184211300538
10307,-800.063153718648,263.806371098942,2344.59475226151,131.142234030716
10379,-824.394738448294,223.038196505511,2363.01576634457,155.142026098419
10508,-828.578953793174,269.392266479155,2263.18947239926,128.895108401874
10748,-759.825,250.855383978706,2401.26501464844,143.189801854443
11397,-665.736357255416,298.694916457102,2468.63636363636,151.729185034913
11673,-732.421051828485,224.030075011861,2421.88422594572,171.049560654001
12105,-794.529408174403,256.656948396689,2265.39412195542,182.426809635081
12720,-757.38125038147,269.13606382492,2413.56253051758,135.071079372721
12738,-753.868747711182,268.53723439092,2417.8687286377,135.365491889235
13407,-975.235295912799,318.498878568831,2086.87645048254,161.20577794569
13807,-970.395001220703,302.636712361385,2181.05,159.430928918483
13900,-854.44375038147,291.217998059606,2320.0874786377,130.058052127739
14037,-867.044995117188,272.006836640457,2267.77499389648,143.376224017724
14538,-684.139999389649,324.603974229541,2416.47998046875,160.361933119291
14849,-894.619995117188,292.634336671121,2135.94500732422,150.533617430107
15125,-872.550008773803,246.440396033689,2260.4750289917,161.230911459757
15318,-959.575003051758,298.711276469006,2079.00499267578,151.330603338222
16364,-860.057893451891,276.806660165969,2301.45789216694,135.144278213613
16643,-1008.14705523323,325.264230108366,2058.25295840993,136.349742783172
16781,-1034.79411046645,324.478762029396,2075.1411707261,141.392289815686
16935,-822.555548773872,378.837152723557,2311.0778266059,154.607927789358
17124,-945.194731059828,239.982070060371,2261.07367907072,149.041931162098
17148,-1070.1117589614,327.689846883383,2084.73527975643,152.01321368013
17443,-837.577779134114,378.986563438549,2284.82225206163,154.562868639735
17473,-913.330006408691,276.912904030361,2223.83002319336,133.392137156084
17557,-963.599988664901,370.564642033721,2191.51426478795,177.549213766652
19842,-945.489474647923,290.5726071157,2209.73156095806,134.210791727844
21002,-1088.7529332778,321.313346461309,1975.62939453125,132.899057329305
21306,-1042.74166361491,383.921166656085,1976.45832316081,155.446135311671
22134,-1044.7555609809,319.278704243801,2125.5055609809,160.197556489075
22196,-929.599998474121,301.860823747861,2223.83126068115,128.103045914862
22270,-977.809994506837,290.088623485373,2153.11500244141,131.223639768626
22279,-810.550018310546,272.885974410611,2326.18330891927,118.64313636416
22310,-812.466669718424,266.505372185949,2289.81669108073,113.260625310731
22460,-897.166671752929,278.192609453283,2181.43334960937,113.432915589778
22677,-988.254991149903,290.267576287886,2204.5200012207,130.33167064574
22812,-1236.02856445313,352.150777595831,2009.98570033482,159.566467887751
22866,-885.599998474121,361.837056874899,2217.26251220703,116.092183137821
22953,-996.747055951287,272.161090828128,2064.01178337546,156.025878556203
23131,-937.100006103515,283.796136204854,2144.30000813802,106.457277458298
23132,-1097.28000183105,303.380082206726,2101.59000854492,120.086709471587
23136,-1031.59091463956,365.849669137449,2110.81815962358,124.032909347169
23377,-1090.3818248402,367.019245260398,1990.60908647017,151.136639750266
23561,-1134.57500076294,311.822000761224,1968.23749542236,138.962644038584
23819,-1009.00525705438,297.51416913833,2231.93160207648,127.556077473273
24087,-1227.14444986979,306.382953374286,1925.1222398546,150.838479694269
24120,-1065.44287109375,408.084619738331,2160.2856968471,107.616688318262
24564,-722.882354736328,269.174351716938,2283.75881778493,130.05312127992
24658,-816.180000305176,245.693878147977,2135.34502563477,148.884942457959
24743,-815.580001831054,260.170664593649,2222.06998901367,132.637909618941
24774,-826.640007019043,263.480671417378,2222.53001098633,131.392368353661
24791,-805.358352661132,319.904251322348,2219.73332722982,150.445117561675
25115,-847.660000610351,267.066080613113,2196.70000610352,132.652647923181
25166,-861.423540900734,290.32816621528,2167.17058967142,128.452613624656
25263,-1000.94999694824,314.649357454694,2012.39000244141,137.64604611
25398,-896.314999389648,239.877494709544,2127.64501342773,154.613749002861
25448,-883.542107833059,277.493452675383,2157.46840948808,137.580549173148
25660,-1017.26841976768,312.134443904727,1994.42632735403,137.436997246194
26012,-893.347365529914,280.214654977347,2188.58422851562,132.932116781523
26143,-840.789999389648,184.216551900271,1965.47500610351,149.135948360221
26169,-856.97368099815,245.676323704752,2180.14208984375,150.867081194999
27019,-1038.61665852865,306.237385292699,1897.46666124132,125.590813641698
27328,-945.019995117188,198.226370321747,1953.53500976562,149.687446314794
28028,-1014.12941966337,297.485251462973,2013.72941320083,130.507030757711
28736,-1210.13749694824,305.634033139264,1916.85625457764,136.197573278305
29247,-1591.35264185855,347.62843974007,1534.19999614515,140.505400939407
29552,-1489.81500244141,301.907944128716,1675.4700012207,151.060530500622
29904,-1639.53683311061,351.176806304557,1498.31053402549,140.396758256956
31230,-1193.01668294271,248.578097698294,1989.71110026042,158.171896077857
32666,-1284.64705882353,299.377383763206,1798.95881922105,127.487502553805
33362,-1257.75882137523,300.445798938461,1807.87646484375,129.423761641255
34787,-1255.23685495477,248.365862194883,1876.31051475123,159.401485767123
36254,-1380.61000061035,285.51632066053,1726.39999389649,152.741840260421
36795,-1461.29000854492,254.969237197693,1720.23000488281,158.26866948465
37657,-1646.89089133523,238.37415069339,1404.8818137429,153.744334867543
38011,-1716.38501586914,232.442509982018,1379.04000244141,146.514401703762
38102,-1974.71665445964,400.975436177186,1264.68888346354,133.471540707629
38796,-1377.47058105469,273.792132618488,1792.56470444623,137.127607356705
39153,-1505.19999186198,247.327888639342,1495.89443630642,132.802446649017
39203,-1681.3299987793,284.410817454511,1421.53001098633,144.296176888027
41707,-568.350001335144,207.161140718563,2446.49374389648,164.942614543273
44067,-694.205000305176,241.084718587616,2330.76000976563,137.363603631372
