"SiteID","avg_FDD","sd_FDD","avg_GDD5","sd_GDD5"
33,-633.80000591278,229.577448290706,2317.82501220703,136.532335186356
71,-860.652945125803,290.189757917439,2278.29997702206,128.401780935531
80,-597.480002593994,236.441857779967,2361.84498901367,163.072883316309
107,-525.229993438721,216.366277552306,2465.54000244141,163.691802663281
232,-553.004999542236,222.169536159882,2388.20001831055,163.387713093869
246,-579.469999694824,232.307505259247,2442.85001220703,165.21140197944
249,-496.944998931885,214.938611337534,2462.55501708984,161.512762585123
251,-588.631578144275,228.041567999293,2340.59471371299,154.459547005182
255,-653.67499923706,245.952828629793,2347.05,166.544941200128
258,-570.519995880127,236.893958416459,2407.90498046875,159.378484214702
260,-654.078948171515,254.696924646021,2333.48424650493,148.696905011821
261,-775.195002746582,274.965569039805,2266.02001342773,151.595442156766
262,-896.880000305175,290.009277610917,2180.93001098633,156.768368330748
267,-597.094996643067,226.948968738037,2373.92999267578,162.9780516119
269,-570.519995880127,236.893958416459,2407.90498046875,159.378484214702
271,-524.945001983642,220.458489904419,2422.94500732422,157.608542985424
280,-528.093749046326,227.094772144466,2479.31875610351,137.264271632094
281,-458.119998168945,203.972313491226,2548.48000488281,164.344264161962
284,-660.621051186009,250.887034185951,2298.74210397821,171.410696431423
285,-480.784209803531,208.592269784461,2501.73682925576,161.375529992108
286,-523.970592723173,239.604623911636,2548.8823816636,182.48117240823
288,-587.373335774739,259.336812697137,2385.5933186849,187.919185459148
290,-942.953340657552,294.522792365344,2045.99334309896,184.131082370316
293,-855.306669108073,316.681066956802,2225.43998209635,171.935463003626
294,-795.773337809245,293.957732025362,2130.56668294271,184.008674842639
295,-814.786665852865,308.021855135006,2200.9399983724,172.264262883559
298,-1027.2333211263,297.649169529158,1994.32001139323,177.41357172455
