"","f_dis","cwm_pc1"
"33",0.940771921600652,-0.036681574834015
"71",1.22489751426819,-0.0211586033446035
"80",1.1329891914708,-0.250811017021526
"107",1.2361703536535,-0.179390378154377
"232",1.22000481489218,-0.235374476799335
"246",1.09838218374071,-0.368732294632843
"249",1.18670140482289,-0.564680966807094
"251",1.21970180969452,-0.0850862528038982
"255",1.17459588380447,-0.158996925552835
"258",1.20300232738901,-0.26907871022115
"260",1.11303132113115,-0.00587067790588325
"261",1.31315290483544,-0.209703292013949
"262",1.32608738132132,-0.104286443308932
"267",1.1131733258108,-0.250184721536769
"269",1.1220559856495,-0.23390890877075
"271",1.25155592670127,-0.0613221845430448
"280",1.30542697731905,-0.229404062126474
"281",1.19402313484175,-0.23460610904982
"284",1.09865700379814,-0.257253092503948
"285",1.22815220125778,-0.532979152514733
"286",1.20599851690799,-0.295237718108277
"288",1.07343390397072,-0.340713684196778
"290",1.08848200434681,-0.517242134788005
"293",1.22814966508111,0.0975459062098433
"294",1.10211041135321,-0.167693319548915
"295",1.26190095284411,0.0875721282095234
"298",1.25194045448677,-0.389238652353669
